ÓBIDOS   
 obs upstream area=4.67e+06 
 mod upstream area=4.61644e+06 
 mod gridbox area=2.55505e+09 
 obs longitude=-55.5131 
 obs latitude=-1.9192
 datem rflowobs rflowS0_rescale rflowS1_rescale rflowS2_rescale rflowS3_rescale
 1920.29 -999.0 157100.380621 157313.974929 157422.693017 157422.693017
 1920.37 -999.0 157579.660713 157803.702203 157896.552129 157896.552129
 1920.45 -999.0 156075.796176 156323.331787 156389.211617 156389.211617
 1920.54 -999.0 145777.032175 145996.201523 146056.419654 146056.419654
 1920.62 -999.0 125236.130785 125400.66667 125451.843416 125451.843416
 1920.71 -999.0 89980.0518628 90100.7769873 90131.6178371 90131.6178371
 1920.79 -999.0 71205.3018503 71323.8316224 71346.3724994 71346.3724994
 1920.87 -999.0 54935.8870338 55043.103038 55075.4122704 55075.4122704
 1920.96 -999.0 60216.6820585 60332.7805741 60400.6776243 60400.6776243
 1921.04 -999.0 68415.1630096 68557.552796 68661.7887057 68661.7887057
 1921.12 -999.0 88588.3236148 88843.947367 88967.0026463 88967.0026463
 1921.2 -999.0 125149.115875 125391.095704 125571.364948 125571.364948
 1921.29 -999.0 137781.019525 137985.47616 138141.182492 138141.182492
 1921.37 -999.0 152769.980611 153073.834715 153155.505675 153155.505675
 1921.45 -999.0 153694.166199 153979.648669 154040.93559 154040.93559
 1921.54 -999.0 136862.977072 137092.699517 137136.683595 137136.683595
 1921.62 -999.0 118605.425124 118786.483925 118818.249133 118818.249133
 1921.71 -999.0 92477.737026 92612.3275342 92639.1531999 92639.1531999
 1921.79 -999.0 67857.1583505 67977.3009363 67998.8885682 67998.8885682
 1921.87 -999.0 57199.8393819 57340.1734326 57364.7941172 57364.7941172
 1921.96 -999.0 73837.9963717 74022.1122968 74082.4893022 74082.4893022
 1922.04 -999.0 83970.8042483 84251.0294277 84346.1902512 84346.1902512
 1922.12 -999.0 105709.578492 106024.842651 106130.855063 106130.855063
 1922.2 -999.0 122376.770943 122614.687445 122749.769019 122749.769019
 1922.29 -999.0 143277.093887 143538.148248 143673.364624 143673.364624
 1922.37 -999.0 145140.428123 145429.44434 145537.122524 145537.122524
 1922.45 -999.0 149219.325481 149480.832392 149590.426695 149590.426695
 1922.54 -999.0 131486.982709 131715.260843 131783.191594 131783.191594
 1922.62 -999.0 105128.599662 105304.978896 105341.539216 105341.539216
 1922.71 -999.0 81746.5945187 81885.4409293 81916.9557907 81916.9557907
 1922.79 -999.0 64450.8861558 64592.2938108 64612.3649164 64612.3649164
 1922.87 -999.0 49420.4974219 49535.3442015 49573.6473236 49573.6473236
 1922.96 -999.0 48210.9015788 48316.1581348 48397.7039219 48397.7039219
 1923.04 -999.0 59115.0580756 59271.7417244 59378.505178 59378.505178
 1923.12 -999.0 96120.5006694 96456.4088441 96592.9347287 96592.9347287
 1923.2 -999.0 121520.015411 121886.177083 121986.104132 121986.104132
 1923.29 -999.0 125474.875359 125806.777978 125881.217756 125881.217756
 1923.37 -999.0 144827.994813 145166.839753 145234.144635 145234.144635
 1923.45 -999.0 139498.449484 139809.765861 139891.330905 139891.330905
 1923.54 -999.0 129819.00595 130075.217056 130155.097071 130155.097071
 1923.62 -999.0 102954.998583 103158.790835 103207.444851 103207.444851
 1923.71 -999.0 79072.8430558 79221.3519056 79251.1576659 79251.1576659
 1923.79 -999.0 60591.1485169 60718.4308124 60744.1684306 60744.1684306
 1923.87 -999.0 44034.599901 44139.7794271 44180.0660694 44180.0660694
 1923.96 -999.0 47154.2101046 47269.0857704 47344.2910332 47344.2910332
 1924.04 -999.0 50539.9827148 50708.1775206 50786.622854 50786.622854
 1924.12 -999.0 70464.9722114 70721.0051851 70815.4438532 70815.4438532
 1924.2 -999.0 98903.8031057 99274.201422 99408.86896 99408.86896
 1924.29 -999.0 143859.26668 144292.23254 144429.422807 144429.422807
 1924.37 -999.0 183132.734578 183555.243628 183638.301127 183638.301127
 1924.45 -999.0 165315.735936 165691.160454 165741.865392 165741.865392
 1924.54 -999.0 121118.439239 121403.055124 121445.556376 121445.556376
 1924.62 -999.0 95841.4501961 96084.0366364 96119.778514 96119.778514
 1924.71 -999.0 89030.590836 89211.4666905 89240.7380559 89240.7380559
 1924.79 -999.0 68064.8598707 68217.2154016 68237.6475849 68237.6475849
 1924.87 -999.0 56802.4517113 56957.0459239 56997.0918477 56997.0918477
 1924.96 -999.0 63775.6997479 63991.2149895 64043.7590161 64043.7590161
 1925.04 -999.0 79303.3406147 79635.3347072 79704.0935295 79704.0935295
 1925.12 -999.0 93704.4672095 94001.4560228 94131.251419 94131.251419
 1925.2 -999.0 118687.885642 118965.212571 119137.056668 119137.056668
 1925.29 -999.0 146317.300698 146670.126566 146789.792529 146789.792529
 1925.37 -999.0 165065.619823 165434.689373 165545.439124 165545.439124
 1925.45 -999.0 158636.260714 158968.432939 159064.210001 159064.210001
 1925.54 -999.0 129314.739281 129568.629861 129639.815125 129639.815125
 1925.62 -999.0 105199.159059 105414.438396 105457.738834 105457.738834
 1925.71 -999.0 89293.8790642 89459.3007933 89484.8265793 89484.8265793
 1925.79 -999.0 69476.1055719 69637.6132187 69656.1485405 69656.1485405
 1925.87 -999.0 49368.8055387 49515.104593 49535.3297584 49535.3297584
 1925.96 -999.0 47727.4522426 47887.8188839 47934.3642063 47934.3642063
 1926.04 -999.0 56120.910336 56331.2116157 56412.603343 56412.603343
 1926.12 -999.0 92430.9798714 92714.5751093 92925.9355502 92925.9355502
 1926.2 -999.0 115615.538101 115969.904568 116169.941612 116169.941612
 1926.29 -999.0 109996.735837 110320.482915 110442.04574 110442.04574
 1926.37 -999.0 126604.807833 126999.335768 127092.368641 127092.368641
 1926.45 -999.0 118331.131248 118697.841757 118749.201449 118749.201449
 1926.54 -999.0 95444.8424534 95751.3540891 95787.7603497 95787.7603497
 1926.62 -999.0 90867.3786394 91153.381062 91187.524569 91187.524569
 1926.71 -999.0 85005.2292645 85210.6198875 85239.3424147 85239.3424147
 1926.79 -999.0 70311.7886091 70507.6804815 70526.2013601 70526.2013601
 1926.87 -999.0 52409.4456427 52588.5401806 52611.4854647 52611.4854647
 1926.96 -999.0 53272.3972676 53501.1664679 53533.6586463 53533.6586463
 1927.04 -999.0 69068.1118457 69390.4097984 69467.9259585 69467.9259585
 1927.12 -999.0 96338.5915986 96736.7399396 96847.046769 96847.046769
 1927.2 -999.0 112036.834456 112415.57126 112506.302864 112506.302864
 1927.29 -999.0 127073.688888 127436.721219 127540.730853 127540.730853
 1927.37 -999.0 154577.323731 154999.168398 155084.970088 155084.970088
 1927.45 -999.0 163195.487697 163619.96101 163700.669097 163700.669097
 1927.54 -999.0 131867.414171 132165.086624 132239.632319 132239.632319
 1927.62 -999.0 114239.321751 114456.80607 114515.416202 114515.416202
 1927.71 -999.0 96648.2999756 96854.0757481 96881.8642877 96881.8642877
 1927.79 -999.0 68995.058606 69191.0804663 69210.448674 69210.448674
 1927.87 -999.0 61862.2190415 62073.6998417 62099.8611245 62099.8611245
 1927.96 -999.0 72783.240274 73025.3356485 73089.5304488 73089.5304488
 1928.04 -999.0 80509.3497527 80794.3989301 80901.6245631 80901.6245631
 1928.12 -999.0 125101.270672 125550.046921 125708.497443 125708.497443
 1928.2 -999.0 162562.35962 162972.351309 163099.469916 163099.469916
 1928.29 -999.0 152884.755175 153183.746766 153358.498742 153358.498742
 1928.37 -999.0 166151.452674 166518.365387 166654.997188 166654.997188
 1928.45 -999.0 196808.990474 197201.746721 197290.022997 197290.022997
 1928.54 -999.0 150492.745418 150796.349174 150850.193081 150850.193081
 1928.62 -999.0 119040.307103 119270.01992 119302.930948 119302.930948
 1928.71 -999.0 97408.6910913 97591.6467534 97616.8162761 97616.8162761
 1928.79 -999.0 67981.8842159 68157.3776055 68179.1433691 68179.1433691
 1928.87 -999.0 65802.2699891 65985.7696749 66054.3599943 66054.3599943
 1928.96 -999.0 73668.9349795 73908.9890614 73995.8306548 73995.8306548
 1929.04 -999.0 82823.4919008 83147.2004637 83241.3502697 83241.3502697
 1929.12 -999.0 101308.272451 101756.422831 101850.428206 101850.428206
 1929.2 -999.0 125543.403091 125991.486071 126119.461635 126119.461635
 1929.29 -999.0 149843.595119 150257.447932 150378.596722 150378.596722
 1929.37 -999.0 174582.530249 175015.091702 175122.606197 175122.606197
 1929.45 -999.0 191126.397816 191540.703181 191651.31813 191651.31813
 1929.54 -999.0 162597.446743 162903.525086 162983.116239 162983.116239
 1929.62 -999.0 113136.109027 113378.387347 113416.690469 113416.690469
 1929.71 -999.0 97528.0200487 97723.7723044 97767.2268017 97767.2268017
 1929.79 -999.0 66634.703327 66816.8164744 66842.4529909 66842.4529909
 1929.87 -999.0 51068.6823081 51252.9811792 51290.0903377 51290.0903377
 1929.96 -999.0 55051.4318969 55263.2497029 55335.0608354 55335.0608354
 1930.04 -999.0 69929.0366211 70283.8171234 70362.3635586 70362.3635586
 1930.12 -999.0 102983.855912 103482.200907 103641.681705 103641.681705
 1930.2 -999.0 127509.071561 127977.61561 128132.898277 128132.898277
 1930.29 -999.0 140488.22604 140887.568344 141034.878416 141034.878416
 1930.37 -999.0 171249.292037 171679.735167 171812.245868 171812.245868
 1930.45 -999.0 142396.131706 142834.788151 142883.509568 142883.509568
 1930.54 -999.0 123656.651763 124021.311351 124087.229696 124087.229696
 1930.62 -999.0 111185.028096 111468.88331 111520.580007 111520.580007
 1930.71 -999.0 80482.2448536 80683.8850829 80710.62409 80710.62409
 1930.79 -999.0 59013.6963444 59207.2532477 59224.4453604 59224.4453604
